order,interday_rms_rv
157,2.523300262637253
156,2.453436928937242
155,11.509371223071833
154,2.4638433304603042
153,2.4602758207849313
152,2.495760765325496
151,2.4539174766520935
150,2.2991653186058967
149,2.28372224725166
148,2.262273453853403
147,2.3186183627928942
146,2.300174070870977
145,2.265512328048683
144,2.4113957707071125
143,2.2269253848900292
142,2.243515676646163
141,2.1017902613509007
140,2.4373951622602097
139,2.212033628782143
138,2.464285018510784
137,2.367079300375733
136,2.2432220469236115
135,2.314405893154592
134,2.4349321283616807
133,2.2372506957962677
132,2.167885175520017
131,2.3017505333752113
130,2.2630997144823453
129,2.3181641073028114
128,2.311780616217024
127,2.4045131652273435
126,2.2926743269958583
125,2.25387182284889
124,2.0838211107413986
123,2.1576209007610134
122,2.4865389114356766
121,2.336326228835798
120,2.176006839248904
119,2.012035268427386
118,20.830228809240044
117,11.171087666352635
116,5.945075648166649
115,6.508219545517044
114,4.85634847074783
113,4.91307648397292
112,2.8458605509186428
111,2.300034144792736
110,1.9453668962548563
109,2.1895412330195274
108,2.3405821188660187
107,3.0771911619224683
106,3.117336172016282
105,2.8114843298862784
102,3.4089630672052254
101,2.147759117188757
100,2.173606709473218
99,2.16746227576038
98,2.492548956206378
97,17782.014990803345
96,4.2661868857723855
92,3.691633087248338
91,3.6214691059294446
90,6.190656913859569
83,7.306234526268348
82,4.763734511831964
81,3.500527490130343
79,4.022756201779635
78,13.77498134689946
77,5.169573394048685
76,6.0184352287184995
73,13.837839174850957
71,4.199110412296621
70,3.478963168732477
68,1526.6534167240254
67,12501.049581009085
66,18301.349693858814
64,1056.506047117743
63,320.36034138604714
