order,intraday_rms_rv
157,2.5996738361263336
156,3.136407337910903
155,5.851513924480845
154,2.0259752491276526
153,1.5791765815963439
152,1.5047397314093343
151,1.2631872980416914
150,1.2819534812473667
149,1.1552912826986077
148,1.2507749699422797
147,1.2606493957804283
146,1.1337464086759812
145,1.229754930000167
144,1.3423162105306243
143,1.324157012558846
142,1.1510162114613707
141,1.1097006162908147
140,1.1194738098843202
139,1.2600776846664223
138,0.9481726003132256
137,1.0524181385509381
136,1.1066332228020064
135,0.9900034096817418
134,1.0189480735466492
133,0.9428032581695562
132,1.1374553226547757
131,1.1866565525194472
130,1.021824238080843
129,1.1247224833531337
128,1.061267242131128
127,1.0509224605293692
126,1.0582205870021206
125,0.8757410679265984
124,0.9297993692430715
123,0.8297226109483556
122,1.4640817368214627
121,1.6199350785324804
120,0.9700121404841666
119,0.9698039220008746
118,0.759788947291017
117,0.9014023661366368
116,0.966154005769626
115,0.9463260960754825
114,1.215233803254121
113,1.6518863789800764
112,2.0121143471652676
111,1.3013299401038987
110,0.9443925868669395
109,1.1124047286933665
108,1.5642725762370806
107,2.7908145453090656
106,3.38774820980509
105,2.9028558946790577
102,3.9645173389901105
101,1.7386413171327475
100,1.2310652898334258
99,1.1631308959006723
98,1.7651127019825807
97,3997.402350244124
96,5.081000376655201
92,3.745278692804278
91,3.6598631827063945
90,4.987256604091934
83,7.954665683046478
82,4.866459270526226
81,3.0302899650213906
79,3.3944250998142396
78,16.247682756046967
77,5.621269966605758
76,6.021887426907078
73,19.46691959375312
71,4.736720986607953
70,4.27806195220602
68,388.31852759685086
67,496.69478589858306
66,1976.3647850391421
64,205.56163521043447
63,143.29814580381412
